time_step, score
0, 0.5294117647058824
1, 0.5294117647058824
2, 0.5294117647058824
3, 0.5294117647058824
4, 0.5294117647058824
5, 0.5294117647058824
6, 0.5294117647058824
7, 0.5294117647058824
8, 0.5294117647058824
9, 0.5294117647058824
10, 0.5294117647058824
11, 0.5294117647058824
12, 0.5294117647058824
13, 0.5294117647058824
14, 0.5294117647058824
15, 0.5294117647058824
16, 0.5294117647058824
17, 0.5294117647058824
18, 0.5294117647058824
19, 0.5294117647058824
20, 0.5294117647058824
21, 0.5294117647058824
22, 0.5294117647058824
23, 0.5294117647058824
24, 0.5294117647058824
25, 0.5294117647058824
