time_step, score
0, 0.47368421052631576
1, 0.47368421052631576
2, 0.47368421052631576
3, 0.47368421052631576
4, 0.47368421052631576
5, 0.47368421052631576
6, 0.47368421052631576
7, 0.47368421052631576
8, 0.47368421052631576
9, 0.47368421052631576
10, 0.47368421052631576
11, 0.47368421052631576
12, 0.47368421052631576
13, 0.47368421052631576
14, 0.47368421052631576
15, 0.47368421052631576
16, 0.47368421052631576
17, 0.47368421052631576
18, 0.47368421052631576
19, 0.47368421052631576
20, 0.47368421052631576
21, 0.47368421052631576
22, 0.47368421052631576
23, 0.47368421052631576
24, 0.47368421052631576
25, 0.47368421052631576
