time_step, score
0, 0.8636363636363636
1, 0.8636363636363636
2, 0.8636363636363636
3, 0.8636363636363636
4, 0.8636363636363636
5, 0.8636363636363636
6, 0.8636363636363636
7, 0.8636363636363636
8, 0.8636363636363636
9, 0.8636363636363636
10, 0.8636363636363636
11, 0.8636363636363636
12, 0.8636363636363636
13, 0.8636363636363636
14, 0.8636363636363636
15, 0.8636363636363636
16, 0.8636363636363636
17, 0.8636363636363636
18, 0.8636363636363636
19, 0.8636363636363636
20, 0.8636363636363636
21, 0.8636363636363636
22, 0.8636363636363636
23, 0.8636363636363636
24, 0.8636363636363636
25, 0.8636363636363636
