time_step, score
0, 0.9047619047619048
1, 0.9047619047619048
2, 0.9047619047619048
3, 0.9047619047619048
4, 0.9047619047619048
5, 0.9047619047619048
6, 0.9047619047619048
7, 0.9047619047619048
8, 0.9047619047619048
9, 0.9047619047619048
10, 0.9047619047619048
11, 0.9047619047619048
12, 0.9047619047619048
13, 0.9047619047619048
14, 0.9047619047619048
15, 0.9047619047619048
16, 0.9047619047619048
17, 0.9047619047619048
18, 0.9047619047619048
19, 0.9047619047619048
20, 0.9047619047619048
21, 0.9047619047619048
22, 0.9047619047619048
23, 0.9047619047619048
24, 0.9047619047619048
25, 0.9047619047619048
