time_step, score
0, 0.5853658536585366
1, 0.5853658536585366
2, 0.5853658536585366
3, 0.5853658536585366
4, 0.5902439024390244
5, 0.5902439024390244
6, 0.5902439024390244
7, 0.5902439024390244
8, 0.5902439024390244
9, 0.5902439024390244
10, 0.5902439024390244
11, 0.5902439024390244
12, 0.5902439024390244
13, 0.5902439024390244
14, 0.5902439024390244
15, 0.5902439024390244
16, 0.5902439024390244
17, 0.5902439024390244
18, 0.5902439024390244
19, 0.5902439024390244
20, 0.5902439024390244
21, 0.5902439024390244
22, 0.5902439024390244
23, 0.5902439024390244
24, 0.5902439024390244
25, 0.5902439024390244
