time_step, score
0, 0.9487179487179487
1, 0.9487179487179487
2, 0.9487179487179487
3, 0.9487179487179487
4, 0.9487179487179487
5, 0.9487179487179487
6, 0.9487179487179487
7, 0.9487179487179487
8, 0.9487179487179487
9, 0.9487179487179487
10, 0.9487179487179487
11, 0.9487179487179487
12, 0.9487179487179487
13, 0.9487179487179487
14, 0.9487179487179487
15, 0.9487179487179487
16, 0.9487179487179487
17, 0.9487179487179487
18, 0.9487179487179487
19, 0.9487179487179487
20, 0.9487179487179487
21, 0.9487179487179487
22, 0.9487179487179487
23, 0.9487179487179487
24, 0.9487179487179487
25, 0.9487179487179487
