time_step, score
0, 0.8148148148148148
1, 0.8148148148148148
2, 0.8148148148148148
3, 0.8148148148148148
4, 0.8148148148148148
5, 0.8148148148148148
6, 0.8148148148148148
7, 0.8148148148148148
8, 0.8148148148148148
9, 0.8148148148148148
10, 0.8148148148148148
11, 0.8148148148148148
12, 0.8148148148148148
13, 0.8148148148148148
14, 0.8148148148148148
15, 0.8148148148148148
16, 0.8148148148148148
17, 0.8148148148148148
18, 0.8148148148148148
19, 0.8148148148148148
20, 0.8148148148148148
21, 0.8148148148148148
22, 0.8148148148148148
23, 0.8148148148148148
24, 0.8148148148148148
25, 0.8148148148148148
