time_step, score
0, 0.5769230769230769
1, 0.5769230769230769
2, 0.5769230769230769
3, 0.5769230769230769
4, 0.5769230769230769
5, 0.5769230769230769
6, 0.5769230769230769
7, 0.5769230769230769
8, 0.5769230769230769
9, 0.5769230769230769
10, 0.5769230769230769
11, 0.5769230769230769
12, 0.5769230769230769
13, 0.5769230769230769
14, 0.5769230769230769
15, 0.5769230769230769
16, 0.5769230769230769
17, 0.5769230769230769
18, 0.5769230769230769
19, 0.5769230769230769
20, 0.5769230769230769
21, 0.5769230769230769
22, 0.5769230769230769
23, 0.5769230769230769
24, 0.5769230769230769
25, 0.5769230769230769
