time_step, score
0, 0.3835616438356164
1, 0.3835616438356164
2, 0.3835616438356164
3, 0.3835616438356164
4, 0.3835616438356164
5, 0.3835616438356164
6, 0.3835616438356164
7, 0.3835616438356164
8, 0.3835616438356164
9, 0.3835616438356164
10, 0.3835616438356164
11, 0.3835616438356164
12, 0.3835616438356164
13, 0.3835616438356164
14, 0.3835616438356164
15, 0.3835616438356164
16, 0.3835616438356164
17, 0.3835616438356164
18, 0.3835616438356164
19, 0.3835616438356164
20, 0.3835616438356164
21, 0.3835616438356164
22, 0.3835616438356164
23, 0.3835616438356164
24, 0.3835616438356164
25, 0.3835616438356164
