time_step, score
0, 0.2765957446808511
1, 0.2765957446808511
2, 0.2765957446808511
3, 0.2765957446808511
4, 0.2765957446808511
5, 0.2765957446808511
6, 0.2978723404255319
7, 0.2978723404255319
8, 0.2978723404255319
9, 0.2978723404255319
10, 0.30851063829787234
11, 0.3404255319148936
12, 0.3404255319148936
13, 0.3404255319148936
14, 0.3404255319148936
15, 0.3404255319148936
16, 0.3404255319148936
17, 0.35106382978723405
18, 0.35106382978723405
19, 0.35106382978723405
20, 0.3617021276595745
21, 0.3617021276595745
22, 0.3617021276595745
23, 0.3617021276595745
24, 0.3617021276595745
25, 0.3617021276595745
